species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Mesocricetusauratus,Lepidoptera,158.0,235.82,"Mir-1296, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-345, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-541, Mir-599, Mir-6529, Mir-71, Mir-7147, Mir-7180, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-769, Mir-885, Mir-9851",178,265.67,"Mir-1271, Mir-1277, Mir-1301, Mir-1329, Mir-1911, Mir-197, Mir-2355, Mir-330, Mir-339, Mir-383, Mir-432, Mir-460, Mir-489, Mir-504, Mir-542, Mir-590, Mir-628, Mir-676, Mir-874, Mir-876"
Mesoligiafuruncula,Lepidoptera,91.0,135.82,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-750, Mir-957, Mir-12, Mir-3049, Mir-375, Mir-957, Mir-999",123,183.58,"Mir-1000, Mir-1175, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-219, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-970, Mir-988"
Microctonusbrassicae,Lepidoptera,43.0,64.18,"Mir-153, Mir-1993, Mir-242, Mir-3, Mir-36, Mir-970, Mir-989",57,85.07,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-375, Mir-929, Mir-932, Mir-965, Mir-971"
Micropterixaruncella,Lepidoptera,78.0,116.42,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-281, Mir-3049, Mir-315, Mir-34, Mir-36, Mir-999, Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",115,171.64,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-277, Mir-2796, Mir-3, Mir-306, Mir-316, Mir-317, Mir-33, Mir-750, Mir-929, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988, Mir-989, Mir-1000, Mir-14, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-306, Mir-316, Mir-33, Mir-750, Mir-929, Mir-932, Mir-970, Mir-971, Mir-988, Mir-989"
Micropterussalmoides,Lepidoptera,97.0,144.78,"Mir-1329, Mir-242, Mir-252, Mir-278, Mir-281, Mir-4057, Mir-729, Mir-76",106,158.21,"Mir-147, Mir-2001, Mir-315, Mir-32, Mir-425, Mir-451, Mir-4541, Mir-71, Mir-875"
Miltochristaminiata,Lepidoptera,96.0,143.28,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-988, Mir-999, Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-988",120,179.1,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-957, Mir-970, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-71, Mir-929, Mir-932, Mir-970, Mir-999"
Mimastiliae,Lepidoptera,94.0,140.3,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",116,173.13,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-375, Mir-929, Mir-932, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-375, Mir-929, Mir-932, Mir-970, Mir-988"
Mimumesadahlbomi,Lepidoptera,44.0,65.67,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-970",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-317, Mir-67, Mir-929, Mir-932, Mir-965, Mir-989"
Miroungaleonina,Lepidoptera,177.0,264.18,"Mir-1329, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-935",188,280.6,"Mir-1379, Mir-2114, Mir-2184, Mir-448, Mir-598, Mir-672, Mir-675, Mir-676, Mir-722, Mir-769, Mir-9851"
Mizuhopectenyessoensis,Lepidoptera,47.0,70.15,,52,77.61,"Mir-1984, Mir-1985, Mir-210, Mir-242, Mir-2722"
Molothrusater,Lepidoptera,106.0,158.21,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-7147, Mir-722, Mir-725, Mir-76, Mir-875",113,168.66,"Mir-1397, Mir-1451, Mir-4541, Mir-599, Mir-71, Mir-727, Mir-737"
Monodonmonoceros,Lepidoptera,172.0,256.72,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",189,282.09,"Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1805, Mir-1842, Mir-187, Mir-1911, Mir-339, Mir-350, Mir-486, Mir-592, Mir-652, Mir-653, Mir-672, Mir-722, Mir-744"
Monomoriumpharaonis,Lepidoptera,46.0,68.66,"Mir-1993, Mir-3049, Mir-36, Mir-970, Mir-989",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-242, Mir-2765, Mir-2796, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932"
Mugilcephalus,Lepidoptera,97.0,144.78,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-729, Mir-76",101,150.75,"Mir-147, Mir-425, Mir-7133, Mir-875"
Musminutoides,Lepidoptera,331.0,494.03,"Mir-1296, Mir-1301, Mir-1307, Mir-1343, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1805, Mir-1842, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-3112, Mir-315, Mir-4057, Mir-4541, Mir-458, Mir-460, Mir-628, Mir-6529, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76, Mir-769, Mir-885, Mir-9851, Mir-1296, Mir-1301, Mir-1307, Mir-1343, Mir-1379, Mir-1397, Mir-1416, Mir-142, Mir-1662, Mir-1805, Mir-1842, Mir-187, Mir-2001, Mir-210, Mir-2114, Mir-2184, Mir-2188, Mir-22, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-3059, Mir-3112, Mir-315, Mir-345, Mir-346, Mir-383, Mir-4057, Mir-448, Mir-4541, Mir-455, Mir-456, Mir-458, Mir-460, Mir-499, Mir-628, Mir-6529, Mir-670, Mir-71, Mir-7147, Mir-7180, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-744, Mir-76, Mir-769, Mir-872, Mir-876, Mir-879, Mir-885, Mir-9851",375,559.7,"Mir-1271, Mir-1277, Mir-1329, Mir-1388, Mir-1788, Mir-1911, Mir-197, Mir-2355, Mir-3072, Mir-351, Mir-3613, Mir-432, Mir-456, Mir-493, Mir-504, Mir-505, Mir-590, Mir-667, Mir-7180, Mir-737, Mir-744, Mir-873, Mir-876, Mir-877, Mir-1271, Mir-1277, Mir-1329, Mir-1388, Mir-1788, Mir-1911, Mir-197, Mir-2355, Mir-3072, Mir-351, Mir-3613, Mir-432, Mir-493, Mir-504, Mir-505, Mir-574, Mir-590, Mir-667, Mir-873, Mir-877"
Mustelaerminea,Lepidoptera,168.0,250.75,"Mir-1301, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-452, Mir-456, Mir-458, Mir-460, Mir-541, Mir-598, Mir-675, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76",184,274.63,"Mir-1296, Mir-1805, Mir-1842, Mir-2114, Mir-2355, Mir-2387, Mir-324, Mir-448, Mir-4541, Mir-590, Mir-671, Mir-6715, Mir-672, Mir-722, Mir-737, Mir-877"
