species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Alosasapidissima,Clupeocephala,91,79.82,"Mir-1329, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-71, Mir-7147, Mir-76",105,92.11,"Mir-147, Mir-191, Mir-2001, Mir-2188, Mir-242, Mir-32, Mir-425, Mir-4541, Mir-7132, Mir-7133, Mir-725, Mir-728, Mir-729, Mir-875"
Alouattapalliata,Euarchontoglires,169,77.17,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",193,88.13,"Mir-1271, Mir-1329, Mir-1343, Mir-1379, Mir-1416, Mir-1911, Mir-1912, Mir-2387, Mir-325, Mir-345, Mir-361, Mir-384, Mir-4541, Mir-511, Mir-541, Mir-590, Mir-653, Mir-672, Mir-722, Mir-725, Mir-737, Mir-770, Mir-885, Mir-9851"
Amblyrajaradiata,Chondrichthyes,78,79.59,"Mir-1329, Mir-139, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-315, Mir-375, Mir-4057, Mir-459, Mir-76",86,87.76,"Mir-147, Mir-1788, Mir-425, Mir-4541, Mir-456, Mir-71, Mir-725, Mir-875"
Amblytelesarmatorius,Endopterygota,42,65.62,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-2796, Mir-306, Mir-36, Mir-970, Mir-989",55,85.94,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-2765, Mir-3, Mir-3049, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965, Mir-971"
Ameiurusmelas,Clupeocephala,89,78.07,"Mir-1329, Mir-147, Mir-2001, Mir-208, Mir-252, Mir-278, Mir-315, Mir-32, Mir-4057, Mir-726, Mir-729, Mir-76, Mir-875",101,88.6,"Mir-143, Mir-191, Mir-2184, Mir-242, Mir-281, Mir-4541, Mir-551, Mir-71, Mir-7132, Mir-7133, Mir-728, Mir-734"
Amphibalanusamphitrite,Pancrustacea,36,67.92,"Mir-12, Mir-1993, Mir-277, Mir-3, Mir-316, Mir-36",47,88.68,"Iab-4, Mir-1, Mir-1175, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-29, Mir-965"
Amphimedonqueenslandica,Demospongiae,6,100.0,,6,100.0,
Amphiprionocellaris,Clupeocephala,97,85.09,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4541, Mir-76, Mir-875",103,90.35,"Mir-147, Mir-202, Mir-4057, Mir-425, Mir-71, Mir-729"
Amphipyraberbera,Lepidoptera,46,68.66,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Amphipyraberbera,Lepidoptera,46,68.66,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
